ISDS_signature;MP17 Interferon/MHC-II (I);MP18 Interferon/MHC-II (II);KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION;Hs_ESC_Assou;Hs_ESC_Wong;SC_Plurinet_computational;ES_exp1_benporath
IFI27;ISG15;CD74;B2M;AARS;ABCB7;AATF;ACTA1
MX1;CD74;HLA-DRA;CALR;AASS;ACAD8;ACTA1;ACTC1
RTP4;IFI6;HLA-DRB1;CANX;ABCE1;ADH5;AIMP2;ACTN3
SAMD9L;HLA-DRA;ALDH1A1;CD4;ABHD9;ADSL;ANAPC1;ADD2
IFITM1;HLA-DRB1;HLA-DPA1;CD74;ACTA1;AK3L1;ANP32A;PARP1
BST2;IFIT3;IFITM2;CD8A;ACTC;ALDH7A1;ANXA2;ALPL
B2M;PSMB9;CD9;CD8B;ACTN3;ALDOC;ANXA3;AMD1
IFI44;IFI44L;CLU;CIITA;ACVR2B;AMOTL2;APEX1;BIRC5
USP18;RARRES3;CRYAB;CREB1;ADAM19;ANP32E;APOE;ATP1A2
ISG15;STAT1;NNMT;CTSB;ADAM23;APEX1;ARID3B;BMPR1A
OASL;HLA-DPA1;S100A10;CTSL;ADCY2;ATP5J;ARL4A;BUB1
DHX58;MX1;TMEM176B;CTSS;ADD2;ATP5O;ARMC6;BUB1B
TXNIP;UBE2L6;C1R;HLA-A;ADM;AURKA;ATIC;C1QBP
PLSCR1;IFITM3;C1S;HLA-B;ADNP;AURKB;AURKA;CASP3
IRF9;BST2;DHRS3;HLA-C;ADSL;BANF1;AURKB;CBS
IFIT2;OAS1;GPM6B;HLA-DMA;AER61;BAX;BAK1;CCNA2
STAT2;GBP1;HLA-DRB5;HLA-DMB;AF020591;BCAT1;BAT3;CCNB1
UBE2L6;IFI27;IFI6;HLA-DOA;AFP;BIRC5;BCCIP;CD24
NMI;IFIT1;IFITM3;HLA-DOB;AGL;BLM;BCL2;CDK1
CD74;TAP1;PLP1;HLA-DPA1;AGPS;BRIX;BIK;CDC6
IFIT3;HLA-B;RARRES2;HLA-DPB1;AK3;BRRN1;BIRC5;CDC20
PARP9;IFITM1;S100B;HLA-DQA1;AKAP1;BTF3;BLM;CDC25A
IL4R;HLA-DMA;SERPING1;HLA-DQA2;ALDH7A1;BUB1;BRIX;CTSC
IFIH1;ISG20;TMEM176A;HLA-DQB1;ALPL;BUB1B;BUB1B;CHEK1
SP110;TNFSF10;ANXA1;HLA-DRA;AMD1;BUB3;BYSL;CRABP1
ISG20;IFI35;C3;HLA-DRB1;AMMECR1;C11orf48;CASP6;CRABP2
IRF1;IFI44;CTNNAL1;HLA-DRB3;ANAPC1;C2orf47;CASP9;CRMP1
;HLA-DPB1;GFRA3;HLA-DRB4;ANK2;CBX3;CCDC5;CSE1L
;HLA-E;MT2A;HLA-DRB5;ANKHD1;CCDC5;CCNA2;CXADR
;HLA-C;PDK4;HLA-E;ANKRD10;CCNA2;CCNB1;CYP26A1
;PARP14;PLAT;HLA-F;AP1M2;CCNB2;CCNB2;COCH
;WARS;PMP22;HLA-G;AP1S2;CCNC;CCND1;DHFR
;HLA-DQB1;SEPP1;HSP90AA1;APBB2;CCND1;CCNE1;DIAPH2
;LAP3;DEPP1;HSP90AB1;APEX1;CCND2;CDA;DLG3
;PSMB8;EGFL8;HSPA1A;API5;CCNF;CDC2;DNA2
;C1S;GPX3;HSPA1B;APPBP1;CCT5;CDC25C;DNMT3A
;HLA-DRB5;HLA-DMA;HSPA1L;ARF3;CDC2;CDC45L;DNMT3B
;PLSCR1;MT1X;HSPA2;ARFGEF1;CDC20;CDC7;DSG2
;TYMP;SEMA3B;HSPA4;ARHGAP19;CDC34;CDK7;ECT2
